entry_utc,exit_utc,closest_approach_utc,duration_hours,min_distance_from_earth_center_km,min_distance_earth_radii
2027-03-18 22:29:59,2027-03-19 14:41:34,2027-03-19 06:36:47,16.19,4510,0.708
2027-07-19 08:44:27,2027-07-19 22:39:06,2027-07-19 15:42:16,13.91,4881,0.766
2027-08-02 00:00:32,2027-08-02 16:28:06,2027-08-02 08:14:19,16.46,2793,0.438
2027-08-15 18:29:12,2027-08-16 16:11:28,2027-08-16 05:18:35,21.70,135,0.021
2027-08-29 21:53:18,2027-08-30 12:16:43,2027-08-30 05:05:46,14.39,4261,0.669
2027-09-12 07:50:49,2027-09-13 01:55:52,2027-09-12 16:50:05,18.08,3608,0.566
2027-10-09 19:21:51,2027-10-10 05:29:37,2027-10-10 00:24:44,10.13,5661,0.889
2027-11-18 20:51:39,2027-11-19 21:56:19,2027-11-19 09:21:59,25.08,219,0.034
2027-12-16 01:04:31,2027-12-16 22:33:31,2027-12-16 11:46:46,21.48,945,0.148
2028-01-12 22:55:59,2028-01-13 11:26:09,2028-01-13 05:10:49,12.50,4808,0.755
2030-06-14 16:49:15,2030-06-15 10:03:53,2030-06-15 01:27:04,17.24,2442,0.383
2030-06-28 08:10:20,2030-06-29 01:14:39,2030-06-28 16:40:44,17.07,4024,0.632
2030-07-12 09:29:05,2030-07-13 03:36:13,2030-07-12 18:34:24,18.12,3048,0.478
2030-07-25 15:24:46,2030-07-26 13:12:55,2030-07-26 02:14:35,21.80,1219,0.191
2030-08-08 14:18:31,2030-08-09 09:35:20,2030-08-08 23:58:55,19.28,3759,0.590
2030-08-21 20:58:05,2030-08-22 19:09:47,2030-08-22 08:01:26,22.19,108,0.017
2030-09-04 06:46:04,2030-09-05 07:33:35,2030-09-04 19:10:20,24.79,1524,0.239
2030-09-18 01:05:57,2030-09-18 23:01:33,2030-09-18 12:05:15,21.93,862,0.135
2030-10-15 07:08:45,2030-10-16 04:02:04,2030-10-15 17:39:10,20.89,2086,0.327
2030-10-28 14:07:37,2030-10-29 04:28:21,2030-10-28 21:17:29,14.35,4502,0.707
2030-11-11 19:13:43,2030-11-12 10:25:09,2030-11-12 02:50:41,15.19,4607,0.723
2030-11-25 09:38:50,2030-11-26 02:14:04,2030-11-25 17:56:12,16.59,2737,0.430
2033-04-27 08:20:05,2033-04-28 01:46:12,2033-04-27 17:03:53,17.44,2995,0.470
2033-05-24 17:44:48,2033-05-25 16:14:46,2033-05-25 05:02:17,22.50,89,0.014
2033-06-20 17:41:23,2033-06-21 15:36:20,2033-06-21 04:40:21,21.92,3143,0.493
2033-07-31 12:39:08,2033-08-01 00:45:22,2033-07-31 18:43:00,12.10,5320,0.835
2033-08-27 17:20:38,2033-08-28 13:04:16,2033-08-28 03:15:27,19.73,2664,0.418
2033-09-10 07:56:25,2033-09-10 11:38:54,2033-09-10 09:47:24,3.71,6249,0.981
2033-09-24 04:42:53,2033-09-25 01:44:42,2033-09-24 15:14:47,21.03,1365,0.214
2033-10-07 23:29:32,2033-10-08 17:01:45,2033-10-08 08:15:54,17.54,1563,0.245
2033-10-22 00:56:10,2033-10-22 08:27:22,2033-10-22 04:41:31,7.52,5971,0.937
2036-03-09 23:44:02,2036-03-10 12:58:02,2036-03-10 06:21:47,13.23,4974,0.781
2036-04-06 05:21:05,2036-04-06 22:12:06,2036-04-06 13:47:50,16.85,4605,0.723
2036-07-24 00:16:44,2036-07-24 03:39:08,2036-07-24 01:57:41,3.37,6265,0.983
2036-08-06 17:19:34,2036-08-07 14:00:39,2036-08-07 03:39:51,20.68,1847,0.290
2036-08-20 14:51:36,2036-08-21 09:04:10,2036-08-20 23:58:53,18.21,1172,0.184
2036-09-03 06:43:31,2036-09-04 02:38:50,2036-09-03 16:38:26,19.92,2579,0.405
2036-09-30 21:10:44,2036-10-01 07:48:21,2036-10-01 02:28:32,10.63,5578,0.876
2036-11-10 08:12:18,2036-11-11 03:16:20,2036-11-10 17:44:04,19.07,4316,0.677
2036-12-07 02:34:56,2036-12-08 02:09:51,2036-12-07 14:19:24,23.58,553,0.087
2037-01-03 14:34:09,2037-01-04 09:52:49,2037-01-04 00:11:59,19.31,1910,0.300
2039-06-06 15:35:17,2039-06-06 22:50:39,2039-06-06 19:12:43,7.26,5853,0.919
2039-06-20 09:52:46,2039-06-20 21:11:36,2039-06-20 15:31:41,11.31,5449,0.855
2039-07-04 06:26:28,2039-07-05 01:30:52,2039-07-04 15:59:55,19.07,1010,0.159
2039-07-17 16:36:47,2039-07-18 13:52:32,2039-07-18 03:10:39,21.26,1705,0.268
2039-07-31 20:55:48,2039-08-01 11:42:13,2039-08-01 04:20:16,14.77,4737,0.743
2039-08-13 23:55:58,2039-08-14 22:04:31,2039-08-14 10:56:14,22.14,381,0.060
2039-08-27 16:21:18,2039-08-28 15:20:34,2039-08-28 03:52:41,22.99,2533,0.398
2039-09-10 04:42:35,2039-09-11 02:22:59,2039-09-10 15:32:02,21.67,1305,0.205
2039-09-23 11:33:00,2039-09-24 07:47:40,2039-09-23 21:39:50,20.24,3778,0.593
2039-10-07 09:17:13,2039-10-08 06:12:46,2039-10-07 19:47:59,20.93,2089,0.328
2039-10-20 16:24:22,2039-10-21 01:55:26,2039-10-20 21:09:39,9.52,5748,0.902
2039-11-03 17:46:39,2039-11-04 11:41:21,2039-11-04 02:46:30,17.91,3740,0.587
2039-11-17 02:10:24,2039-11-17 21:06:57,2039-11-17 11:37:41,18.94,841,0.132
2042-04-19 08:30:02,2042-04-19 15:09:25,2042-04-19 11:49:58,6.66,5964,0.936
2042-05-16 19:15:12,2042-05-17 16:02:49,2042-05-17 05:40:30,20.79,378,0.059
2042-06-12 23:31:19,2042-06-13 23:25:46,2042-06-13 11:31:18,23.91,96,0.015
2042-06-26 14:38:36,2042-06-26 19:36:31,2042-06-26 17:07:34,4.97,6214,0.975
2042-07-10 01:14:48,2042-07-10 13:13:10,2042-07-10 07:14:14,11.97,5633,0.884
2042-07-23 15:14:08,2042-07-24 03:35:45,2042-07-23 21:25:27,12.36,5286,0.830
2042-08-19 18:40:34,2042-08-20 13:03:45,2042-08-20 03:54:55,18.39,3448,0.541
2042-09-16 03:12:39,2042-09-17 00:49:49,2042-09-16 14:03:59,21.62,192,0.030
2042-09-29 16:45:39,2042-09-30 09:53:02,2042-09-30 01:19:06,17.12,2289,0.359
2042-10-13 18:54:32,2042-10-14 11:06:52,2042-10-14 03:00:27,16.21,4195,0.659
2042-10-27 23:20:42,2042-10-28 03:38:33,2042-10-28 01:29:38,4.30,6194,0.972
2045-03-29 07:24:47,2045-03-30 02:53:34,2045-03-29 17:10:40,19.48,3225,0.506
2045-04-25 15:20:02,2045-04-25 21:23:02,2045-04-25 18:21:47,6.05,6189,0.972
2045-07-29 17:04:08,2045-07-30 10:42:11,2045-07-30 01:54:24,17.63,3684,0.578
2045-08-12 09:14:57,2045-08-13 02:16:11,2045-08-12 17:45:49,17.02,2321,0.364
2045-08-26 04:49:30,2045-08-27 02:11:03,2045-08-26 15:28:17,21.36,1055,0.166
2045-09-09 09:12:45,2045-09-09 21:08:38,2045-09-09 15:11:12,11.93,4992,0.784
2045-09-22 20:21:53,2045-09-23 10:13:59,2045-09-23 03:16:11,13.87,4928,0.774
2045-11-29 08:47:28,2045-11-30 08:36:51,2045-11-29 20:40:24,23.82,2133,0.335
2045-12-26 11:54:53,2045-12-27 09:49:18,2045-12-26 22:49:21,21.91,492,0.077
2046-01-23 12:02:10,2046-01-23 19:26:16,2046-01-23 15:43:58,7.40,5882,0.923
2048-06-25 02:08:09,2048-06-25 19:45:29,2048-06-25 10:57:04,17.62,1987,0.312
2048-07-08 17:06:38,2048-07-09 12:56:03,2048-07-09 02:59:05,19.82,2704,0.424
2048-07-22 20:32:29,2048-07-23 12:52:48,2048-07-23 04:43:53,16.34,3813,0.599
2048-08-05 01:59:38,2048-08-06 00:04:42,2048-08-05 12:57:55,22.08,323,0.051
2048-08-19 04:07:15,2048-08-19 18:01:33,2048-08-19 11:05:09,13.90,5160,0.810
2048-09-01 08:26:48,2048-09-02 05:42:59,2048-09-01 19:02:38,21.27,1783,0.280
2048-09-14 17:39:42,2048-09-15 19:12:13,2048-09-15 06:26:28,25.54,279,0.044
2048-09-28 12:45:56,2048-09-29 09:10:46,2048-09-28 22:59:21,20.41,2480,0.389
2048-10-11 17:56:20,2048-10-12 08:50:42,2048-10-12 01:22:46,14.91,4990,0.783
2048-10-25 18:40:58,2048-10-26 13:20:34,2048-10-26 04:03:46,18.66,3460,0.543
2048-11-07 23:19:44,2048-11-08 16:29:29,2048-11-08 07:53:37,17.16,3471,0.545
2048-11-22 07:43:12,2048-11-22 17:44:50,2048-11-22 12:44:31,10.03,5680,0.892
2048-12-05 20:45:13,2048-12-06 11:53:13,2048-12-06 04:18:58,15.13,3650,0.573
2051-05-08 17:46:36,2051-05-09 11:59:38,2051-05-09 02:53:52,18.22,2310,0.363
2051-06-05 04:31:14,2051-06-06 02:21:59,2051-06-05 15:28:37,21.85,1148,0.180
2051-06-18 15:36:43,2051-06-19 00:54:50,2051-06-18 20:15:02,9.30,5805,0.911
2051-07-02 03:29:19,2051-07-03 03:45:01,2051-07-02 15:39:10,24.26,1543,0.242
2051-07-15 17:40:58,2051-07-16 07:44:38,2051-07-16 00:42:48,14.06,4943,0.776
2051-08-11 20:42:16,2051-08-12 14:33:04,2051-08-12 05:39:40,17.85,3729,0.585
2051-09-08 02:59:19,2051-09-09 00:16:38,2051-09-08 13:41:13,21.29,1337,0.210
2051-09-21 15:08:13,2051-09-22 00:22:43,2051-09-21 19:45:13,9.24,5584,0.876
2051-10-05 15:18:17,2051-10-06 11:13:03,2051-10-06 01:16:40,19.91,2461,0.386
2051-10-19 09:47:49,2051-10-20 02:42:01,2051-10-19 18:15:10,16.90,2270,0.356
2054-03-21 08:28:43,2054-03-22 00:55:39,2054-03-21 16:43:11,16.45,3926,0.616
2054-04-17 14:02:51,2054-04-18 11:00:46,2054-04-18 00:33:48,20.97,3122,0.490
2054-07-21 18:29:34,2054-07-22 06:34:22,2054-07-22 00:32:58,12.08,5292,0.831
2054-08-04 07:42:28,2054-08-04 15:22:09,2054-08-04 11:32:19,7.66,5805,0.911
2054-08-18 03:02:49,2054-08-19 00:30:52,2054-08-18 13:46:35,21.47,664,0.104
2054-09-01 00:50:44,2054-09-01 18:34:56,2054-09-01 09:43:35,17.74,1737,0.273
2054-09-14 18:12:24,2054-09-15 11:36:24,2054-09-15 02:52:24,17.40,3819,0.599
